,Modulus of elasticity - inner (GPa),Modulus of elasticity - Outer (GPa),Axial load (kN),Friction Coefficient,Total number of snaking,Global snaking length (m),Maximum snaking amplitude (m),Image file name
0,0.18176439519392223,0.07090777098253832,7.225449867007242,0.8561451464194029,11,43.56,4.50989,Sample_0.tif
1,0.1198028377771473,0.09338739052268699,9.432766172574311,30.171052033092344,6,27.22,1.97041,Sample_1.tif
2,0.11394359187109487,0.07124340032924617,13.017851597775012,22.96569891066349,8,44.91,3.39366,Sample_2.tif
3,0.20473723256068274,0.05827433053314066,8.59234832351957,4.665003678256737,9,40.4,3.59778,Sample_3.tif
4,0.10857781549740474,0.10639740444998473,12.868561444906438,21.039354507179148,10,36.92,2.58649,Sample_4.tif
5,0.1192147721855273,0.11991680424979878,8.599113918836832,16.738725287955774,10,41.71,5.03497,Sample_5.tif
6,0.12139475326104658,0.14618841700696047,13.14450543683553,6.6975584883006345,9,40.99,2.39853,Sample_6.tif
7,0.08325131820817457,0.10877505624593324,10.883343795293378,34.74696716666372,8,42.61,2.09527,Sample_7.tif
8,0.11657978394085093,0.11953108192062152,13.093442953313225,49.98264296630065,9,42.48,2.80899,Sample_8.tif
9,0.15775388214509972,0.10382838045172663,10.842011876079,38.83659496679519,6,32.79,2.64031,Sample_9.tif
10,0.18091318427135428,0.09834181851034171,10.339300082663899,0.26376174413773396,9,27.89,1.67092,Sample_10.tif
11,0.09380969409551232,0.08683235292534319,7.630106219949044,19.24936205610988,7,31.31,1.70366,Sample_11.tif
12,0.14835472844677366,0.14917404277359744,6.206612282035403,20.87772320780969,9,25.41,1.59489,Sample_12.tif
13,0.1554861989533443,0.06965872248566625,8.94690871435544,21.255516035111835,9,23.95,2.13762,Sample_13.tif
14,0.0816634080794571,0.13131079524174927,7.531311201420729,24.686537928370925,8,30.57,2.35106,Sample_14.tif
15,0.18704178136357327,0.09912995660531741,7.243912209798534,23.69994700990157,5,25.11,2.9185,Sample_15.tif
16,0.08603429156242068,0.14394063012596117,13.684598846474291,8.291893737715682,8,41.33,3.24204,Sample_16.tif
17,0.20272783441820244,0.13014109189512424,13.690131976547892,30.191698350342005,8,33.48,2.54061,Sample_17.tif
18,0.08036757513096077,0.06291684062135583,12.904187845556692,41.48941442844139,4,6.45,0.375875,Sample_18.tif
19,0.1915742648985214,0.13978418830911316,8.211706827660791,45.662958020328034,10,35.92,2.05306,Sample_19.tif
20,0.19072032552889054,0.06619344424591934,6.626088604731166,29.880981108143267,8,41.13,3.97532,Sample_20.tif
21,0.12894612555172094,0.06898446797182858,13.851860620220924,11.424572870013971,9,27.63,2.81398,Sample_21.tif
22,0.18827700742730205,0.09393578755480872,11.095214827141682,6.518743941984391,11,39.79,5.36892,Sample_22.tif
23,0.16123252133639862,0.10590029264816828,11.390751760986717,16.665833044206703,9,41.1,2.2421,Sample_23.tif
24,0.11774281275994225,0.0919843515157647,12.440650339752711,21.453087181153386,8,32.61,1.74574,Sample_24.tif
25,0.07990319448599591,0.132992701543986,10.378317984396839,11.407333406568386,10,38.13,2.44999,Sample_25.tif
26,0.18769550131350587,0.07149980168071568,9.203512675751906,45.81078939379606,9,24.79,0.985958,Sample_26.tif
27,0.19984016608566918,0.11249029951088994,10.508400658883478,1.1643364531342904,11,45.08,2.8896900000000003,Sample_27.tif
28,0.15121588547906814,0.10912929179351283,6.4893256516525275,30.7493253110727,4,17.49,2.6832700000000003,Sample_28.tif
29,0.10201560871948691,0.12487803223232652,11.236713701999598,35.56709321432999,10,25.91,1.87707,Sample_29.tif
30,0.12698003758493973,0.09683957046172731,10.393047662451258,2.138567532192603,7,16.93,1.39378,Sample_30.tif
